Feature,Importance
android.permission.FORCE_STOP_PACKAGES,0.00050804316
android.permission.TETHER_PRIVILEGED,0.0005071413
dynamic_270,0.0005066318
dynamic_280,0.00050546863
android.permission.SET_PREFERRED_APPLICATIONS,0.0005039751
dynamic_201,0.0005034848
/system/bin,0.00050312653
Ljava.lang.Class.getMethods,0.000502818
android.permission.SET_TIME,0.000501866
dynamic_72,0.0004927362
dynamic_176,0.0004907467
android.permission.ACCOUNT_MANAGER,0.00049048604
dynamic_85,0.000490419
android.permission.INSTALL_PACKAGES,0.0004889627
dynamic_233,0.00048789312
dynamic_315,0.00048666447
dynamic_43,0.0004866053
android.permission.DISABLE_KEYGUARD,0.0004862424
dynamic_235,0.0004858245
android.permission.ACCESS_SURFACE_FLINGER,0.0004855453
android.permission.BIND_DEVICE_ADMIN,0.00048298025
dynamic_264,0.00047778623
dynamic_253,0.00047578377
dynamic_131,0.00047209748
dynamic_254,0.00047173692
dynamic_144,0.00047050783
android.permission.DIAGNOSTIC,0.00046928087
android.permission.CHANGE_NETWORK_STATE,0.00046886867
android.permission.INTERACT_ACROSS_USERS,0.0004688429
android.permission.CAPTURE_VIDEO_OUTPUT,0.00046827557
 android.permission.BIND_TV_INPUT,0.00046625073
android.permission.REAL_GET_TASKS,0.00046440942
 android.permission.BROADCAST_PACKAGE_REMOVED,0.00046383854
android.permission.SET_DEBUG_APP,0.00046334125
dynamic_284,0.00046013537
android.intent.action.CALL_BUTTON,0.00045807497
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,0.00045573237
dynamic_269,0.00045476947
android.permission.MANAGE_USERS,0.00045408268
android.permission.CHANGE_WIMAX_STATE,0.00045304783
dynamic_159,0.00045175976
dynamic_154,0.00044864867
Runtime.exec,0.00044670337
dynamic_257,0.00044655695
android.permission.READ_SYNC_SETTINGS,0.000444473
android.permission.CHANGE_WIFI_MULTICAST_STATE,0.00044327488
android.permission.READ_USER_DICTIONARY,0.0004428315
dynamic_317,0.00044278012
android.permission.DUMP,0.00044209242
android.permission.UPDATE_APP_OPS_STATS,0.0004404591
dynamic_46,0.00044020245
android.permission.SUBSCRIBED_FEEDS_WRITE,0.00043959913
dynamic_292,0.0004387498
dynamic_198,0.0004386169
dynamic_102,0.00043832068
dynamic_222,0.00043770453
 android.permission.BLUETOOTH_PRIVILEGED,0.00043759213
dynamic_278,0.00043715295
dynamic_196,0.00043211898
android.permission.BIND_DIRECTORY_SEARCH,0.0004310882
dynamic_94,0.0004307721
android.permission.NFC,0.00043063978
android.permission.ACCESS_CACHE_FILESYSTEM,0.0004305131
dynamic_230,0.00043023573
android.permission.ALLOW_ANY_CODEC_FOR_PLAYBACK,0.00042793652
dynamic_83,0.00042382686
 android.permission.BROADCAST_WAP_PUSH,0.00042382343
dynamic_190,0.0004235078
android.permission.TRANSMIT_IR,0.00042117175
android.permission.BIND_APPWIDGET,0.00042099177
android.permission.MANAGE_DOCUMENTS,0.00042067101
abortBroadcast,0.00042063164
android.permission.FACTORY_TEST,0.00041812597
android.permission.MOUNT_FORMAT_FILESYSTEMS,0.00041799666
android.permission.GET_INTENT_SENDER_INTENT,0.00041713117
android.permission.WRITE_GSERVICES,0.00041624956
dynamic_263,0.00041438875
dynamic_67,0.00041152904
android.permission.ACCESS_BLUETOOTH_SHARE,0.00040488923
dynamic_64,0.00040477037
android.intent.action.CALL,0.00040276596
dynamic_141,0.00040251185
dynamic_150,0.00039153476
android.permission.ACCESS_MOCK_LOCATION,0.00038811966
dynamic_187,0.00038443817
android.permission.BIND_REMOTEVIEWS,0.0003820518
dynamic_87,0.00037954797
android.permission.READ_PROFILE,0.00037923508
android.permission.BACKUP,0.00037911755
android.permission.GLOBAL_SEARCH_CONTROL,0.00037772933
dynamic_170,0.00037657126
dynamic_267,0.00037213194
dynamic_142,0.00036734072
android.permission.MODIFY_PHONE_STATE,0.00036580925
dynamic_268,0.0003657808
dynamic_289,0.00036042943
dynamic_33,0.00035494566
android.permission.MOVE_PACKAGE,0.00035430182
intent.action.RUN,0.00034957324
dynamic_34,0.00034302424
dynamic_184,0.00033992212
android.permission.READ_FRAME_BUFFER,0.0003396366
android.permission.MASTER_CLEAR,0.00033053488
